epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,128.967,0.39024,0.41354,0.90145,0.64275,0.90425,0.78352,0.61787,0.82774,0.90103,1.15315,0.000462281,0.000462281,0.000462281
43,131.25,0.40297,0.40537,0.88459,0.64175,0.82516,0.75722,0.57811,0.81429,0.91176,1.14981,0.000438703,0.000438703,0.000438703
44,133.582,0.40926,0.41288,0.89796,0.7338,0.72619,0.77546,0.62035,0.77939,0.96271,1.14445,0.000415124,0.000415124,0.000415124
45,135.809,0.36339,0.35869,0.89085,0.64788,0.82143,0.78019,0.63248,0.80857,0.99708,1.15879,0.000391546,0.000391546,0.000391546
46,138.859,0.32805,0.37353,0.86467,0.77931,0.76336,0.79813,0.63289,0.84045,0.91726,1.19421,0.000367967,0.000367967,0.000367967
47,141.36,0.35564,0.3826,0.88456,0.8044,0.69048,0.77355,0.61243,0.8534,0.88551,1.22786,0.000344389,0.000344389,0.000344389
48,143.639,0.35626,0.37877,0.86401,0.61336,0.81725,0.73905,0.58291,0.84816,0.92691,1.17369,0.00032081,0.00032081,0.00032081
49,145.926,0.30683,0.35323,0.83896,0.73318,0.6802,0.74429,0.56675,0.85102,0.96325,1.1774,0.000297232,0.000297232,0.000297232
50,148.269,0.3367,0.33285,0.87301,0.58242,0.87254,0.74024,0.5636,0.86311,1.09066,1.1683,0.000273654,0.000273654,0.000273654
51,153.467,0.3235,0.47766,0.86592,0.59279,0.87392,0.74229,0.5673,0.86708,1.08398,1.15657,0.000250075,0.000250075,0.000250075
52,156.027,0.29758,0.29778,0.8233,0.585,0.71242,0.69584,0.56908,0.89687,1.06093,1.12638,0.000226497,0.000226497,0.000226497
53,158.29,0.28016,0.27966,0.81712,0.62433,0.77976,0.75135,0.60772,0.88468,0.98368,1.14354,0.000202918,0.000202918,0.000202918
54,160.645,0.26525,0.26922,0.80842,0.69451,0.73735,0.76762,0.64483,0.79702,0.85009,1.11749,0.00017934,0.00017934,0.00017934
55,163.034,0.27486,0.28421,0.82183,0.7572,0.7644,0.80196,0.67764,0.76114,0.79688,1.11302,0.000155761,0.000155761,0.000155761
56,166.051,0.26504,0.26366,0.81478,0.74743,0.78571,0.82359,0.68746,0.73806,0.75273,1.09315,0.000132183,0.000132183,0.000132183
57,168.508,0.30366,0.3031,0.83385,0.74873,0.84467,0.8507,0.71451,0.7422,0.73473,1.08846,0.000108604,0.000108604,0.000108604
58,170.853,0.27639,0.26204,0.82982,0.72392,0.875,0.85322,0.71639,0.73986,0.70558,1.07808,8.50255e-05,8.50255e-05,8.50255e-05
59,173.175,0.27375,0.2798,0.82976,0.71989,0.86291,0.86358,0.72212,0.7386,0.70558,1.07439,6.1447e-05,6.1447e-05,6.1447e-05
60,176.126,0.26883,0.25489,0.82397,0.72474,0.85344,0.86539,0.73742,0.74017,0.71561,1.07313,3.78685e-05,3.78685e-05,3.78685e-05
